|cafe|post_id|post_link|day_posted|n_likes|title|first_comments
0|https://www.instagram.com/abrasileirachiado/|0|https://www.instagram.com/p/DI3YwV-PtK0/|1 day ago|79|"António de Oliveira Salazar, presidente do Conselho de Ministros do governo ditatorial do Estado Novo que vigorou em Portugal durante 41 anos (1933-1974), tinha um profundo respeito pela tradição histórica d’A Brasileira do Chiado, proibindo que se fizessem prisões dentro do café. Há relatos de que vários perseguidos políticos da ditadura, que se exilavam n’A Brasileira durante várias horas para não serem presos, porque sabiam tratar-se de um espaço neutro.

#abrasileiradochiado #chiado #café #fernandopessoa #historiccafe @grupoovalordotempo"|[]
1|https://www.instagram.com/abrasileirachiado/|1|https://www.instagram.com/p/DItuzHaB82n/|5 days ago|21|"“Todos sabemos que a arte não é verdade. A arte é uma mentira criada para nos fazer entender a verdade.”

Pablo Picasso

#abrasileiradochiado #chiado #café #fernandopessoa #historiccafe @grupoovalordotempo"|[]
2|https://www.instagram.com/abrasileirachiado/|2|https://www.instagram.com/p/DIjpVnwhqbe/?img_index=1|17 April|28|"A obra de António Faria convoca o olhar do espectador para o universo da história da arte, particularmente o tempo de Latour. O trabalho em acrílico e carvão sobre tela revela uma subtileza e uma voluptuosidade que enfatizam esse efeito de citação singular, mostrando como um género clássico pode ser reinventado e trazido para o espaço contemporâneo. Suspensas no plano de imagem, as flores delicadas que se oferecem à contemplação criam um ambiente no qual se sente o tempo suspenso. no instante do desenho. “Sem título” é uma das 10 obras vencedoras do Concurso de pintura d’A Brasileira, em exposição no café.

@_antonio__faria_

#abrasileiradochiado #chiado #café #fernandopessoa #historiccafe @grupoovalordotempo"|[]
3|https://www.instagram.com/abrasileirachiado/|3|https://www.instagram.com/p/DIZWO_2PmwH/|13 April|110|"A Brasileira aos olhos de quem a visita.

@diniz.guiatourlisboa

#abrasileiradochiado #chiado #café #fernandopessoa #historiccafe @grupoovalordotempo"|"['👏🥂🥂🥂', 'Sei bem😘💚❤👏🏻', 'Conheço e recomendo ☕️ 🇧🇷', 'O fundador de ""A Brasileira"" viveu aqui na minha cidade, Visconde do Rio Branco, MG. Ainda vou tomar um cafezim aí 😍']"
4|https://www.instagram.com/abrasileirachiado/|4|https://www.instagram.com/p/DIOnjB_hYhU/?img_index=1|9 April|29|"“Uma pessoa sem vícios tem poucas virtudes.""

Abraham Lincoln

#abrasileiradochiado #chiado #café #fernandopessoa #historiccafe @grupoovalordotempo"|[]
5|https://www.instagram.com/abrasileirachiado/|5|https://www.instagram.com/p/DID5C-CvdfH/|5 April|258|"Mimosa – Uma bebida com nome de flor, para saborear devagar neste sol de inverno, no coração do Chiado.

#abrasileiradochiado #chiado #café #fernandopessoa #historiccafe @grupoovalordotempo"|['Um encanto na arte do atender ..beijinhos👏👏❤️❤️', '😍😍😍😍', '👏👏👏👏❤️', 'Saudades......❤️', 'One of our favorite places in Lisboa. ❤️', 'Saudadeeeees😍', 'Lisboa sim e a cidade maravilhosa']
6|https://www.instagram.com/abrasileirachiado/|6|https://www.instagram.com/p/DH6jcSYOW_M/|1 April|117|"""Nem só de café vive o homem”.

Machado de Assis, reconhecido como o maior expoente da literatura brasileira.

#abrasileiradochiado #chiado #café #fernandopessoa #historiccafe @grupoovalordotempo"|[]
7|https://www.instagram.com/abrasileirachiado/|7|https://www.instagram.com/p/DHx-QOfsW2c/?img_index=1|29 March|51|"Isabella Navarro é a autora do quadro “A Brasileira” em exposição no café e uma das vencedoras do concurso de pintura que lançámos em 2024 para celebrar os 100 anos da 1ª geração de quadros.

Nesta obra, que integra a 3ª geração de quadros, a atmosfera poética d’A Brasileira foi o ponto de partida para o retrato de um espaço histórico quase irreal, que se transforma num cenário onde cada um faz parte da cena e deixa a sua história. Na obra, é possível identificar elementos de diferentes épocas, referências que percorreram o tempo e se encontram com a atualidade, quase como um jogo de descobertas onde arquitetura, design, poesia e arte estão sempre presentes.

@isabellanavarro.art

#café #coffee #fernandopessoa #chiado #lisboa @grupoovalordotempo"|['👏👏👏', 'Que incrível! Parabéns Bela❤️ seu trabalho é muito inspirador', 'A querida Bela tem um trabalho espetacular!!! 👏👏👏', '👏👏👏', 'Bela, que lindo!👏👏👏👏👏👏❤️❤️❤️❤️', 'Talentosíssima 👏❤️', 'Ela é top!!!👏👏👏 @isabellanavarro.art']
8|https://www.instagram.com/abrasileirachiado/|8|https://www.instagram.com/p/DHoh5NMqJVR/?img_index=1|25 March|176|"No cenário que é a esplanada d’A Brasileira, senta-se de perna traçada e de bronze vestido, Fernando Pessoa. Com a mão pousada sobre a mesa, aguarda silencioso por alguém que lhe faça companhia na cadeira vazia a seu lado, inspirado nos seus mais de 25.000 páginas de poesia, contos e críticas literárias.

@fveiguela
@port_uando
@dralilianodontopediatra
@inbookveritas
@giu.dori
@lamagnifica__

#café #coffee #fernandopessoa #chiado #lisboa @grupoovalordotempo"|['Estou chegando para um dedinho de prosa com o nobre poeta!', '❤️❤️”Tudo vale a pena … Se a alma não é pequena”.', 'Vou mandar minha foto também', '💚', 'Ame su café !! Y sus pastelitos de nata ❤️ @abrasileirachiado']
9|https://www.instagram.com/abrasileirachiado/|9|https://www.instagram.com/p/DHgm5E0t8qt/?img_index=1|22 March|71|"A Brasileira do Chiado lança a obra Mensagem, de Fernando Pessoa, traduzida para Hindi, num evento coorganizado com a Embaixada da Índia em Portugal.

O Dia Mundial da Poesia, que ontem se comemorou, juntou-se às celebrações do 50º aniversário do restabelecimento das relações diplomáticas entre Portugal e Índia num evento carregado de simbolismo. O auditório do Instituto Camões foi palco do lançamento da primeira edição alguma vez traduzida integralmente para Hindi, uma edição exclusiva lançada pel’A Brasileira do Chiado e traduzida por Manjulata Sharma, tradutora, intérprete, autora e docente de língua portuguesa há mais de três décadas na Índia.

Shiv Kumar Singh, do Centro de Estudos Indianos da Universidade de Lisboa, conduziu o evento que contou com uma performance cultural com poemas de Fernando Pessoa e música e dança clássicas indianas kathak, seguido da apresentação do livro numa conversa intimista entre a tradutora e Catarina Carvalho, Diretora da Mensagem de Lisboa. Lado a lado com A Brasileira do Chiado, tivemos a honra de contar com Puneet Roy Kundal, Embaixador da Índia em Portugal e Florbella Paraiba, Presidente do Instituto Camões.

Com várias edições bilingue da obra já publicadas pel’A Brasileira do Chiado, a edição em Hindi - o terceiro idioma mais falado em todo o mundo por mais de 600 milhões de pessoas - firmou uma relação com séculos de história, entre Portugal e a Índia.

@iccr_hq @indian.diplomacy @meaindia @prkundal @mensagem.lisboa @camoesip @indiainportugal

#abrasileiradochiado #chiado #café #fernandopessoa #historiccafe @grupoovalordotempo"|['💯❤️🎉🔥']
10|https://www.instagram.com/abrasileirachiado/|10|https://www.instagram.com/p/DHdewYfP_NV/|21 March|53|"Mensagem é uma obra que oferece uma reflexão filosófica e simbólica, mas também épica.

Composta por quarenta e quatro poemas, esta obra de Fernando Pessoa tem n'A Brasileira uma edição especial bilingue: português, inglês, espanhol, francês, alemão, italiano, mandarim e hindi. Leitura perfeita para dias frios.

#café #coffee #fernandopessoa #chiado #lisboa @grupoovalordotempo"|['Comprei o meu exemplar aí na A brasileira 😍', '👌🏻🥂🥂']
11|https://www.instagram.com/abrasileirachiado/|11|https://www.instagram.com/p/DHWFCt-v5Gz/|18 March|43|"“As cidades não são pátrias. É na província que se encontra o carácter e a mística duma nação”

Agustina Bessa-Luís (1922-2019)

#café #coffee #fernandopessoa #chiado #lisboa @grupoovalordotempo"|['Que orgulho ver o LUSO-AMERICANO num espaço icónico da nossa capital! Obrigado ao Grupo O Valor do Tempo e à Família Quaresma!']
